                  20                 160
                   1                  68        0.0000610832
                   1                  69        0.0000598629
                   1                  70        0.0000611509
                   1                  71        0.0000627073
                   1                  72        0.0000624700
                   1                  73        0.0000622773
                   1                  74        0.0000607665
                   1                  75        0.0000569492
                   1                  76        0.0000560541
                   1                  77        0.0000462597
                   1                  78        0.0000439226
                   1                  79        0.0000394910
                   1                  80        0.0000402971
                   1                  81        0.0000406339
                   1                  82        0.0000456857
                   1                  83        0.0000464312
                   1                  84        0.0000556139
                   1                  85        0.0000608441
                   1                  86        0.0000713876
                   1                  87        0.0000743753
                   1                  88        0.0000771809
                   1                  89        0.0000760414
                   1                  90        0.0000695897
                   1                  91        0.0000713183
                   1                  92        0.0000692546
                   1                  93        0.0000678799
                   1                  94        0.0000705377
                   1                  95        0.0000621173
                   1                  96        0.0000575572
                   1                  97        0.0000482415
                   1                  98        0.0000406322
                   1                  99        0.0000307505
                   1                 100        0.0000131702
                   1                 101       -0.0000023074
                   1                 102       -0.0000121058
                   1                 103       -0.0000213776
                   1                 104       -0.0000252956
                   1                 105       -0.0000322305
                   1                 106       -0.0000367481
                   1                 107       -0.0000392490
                   1                 108       -0.0000374767
                   1                 109       -0.0000333654
                   1                 110       -0.0000237281
                   1                 111       -0.0000130901
                   1                 112        0.0000152663
                   1                 113        0.0000390740
                   1                 114        0.0000539706
                   1                 115        0.0000644676
                   1                 116        0.0000786959
                   1                 117        0.0000941725
                   1                 118        0.0001136712
                   1                 119        0.0001407366
                   1                 120        0.0001620985
                   1                 121        0.0001650668
                   1                 122        0.0001654003
                   1                 123        0.0001773046
                   1                 124        0.0001794542
                   1                 125        0.0001924726
                   1                 126        0.0002068490
                   1                 127        0.0002275968
                   1                 128        0.0002614127
                   1                 129        0.0002891071
                   1                 130        0.0003245229
                   1                 131        0.0003524720
                   1                 132        0.0003691926
                   1                 133        0.0003911750
                   1                 134        0.0004423110
                   1                 135        0.0004993366
                   1                 136        0.0005793821
                   1                 137        0.0006699105
                   1                 138        0.0007804958
                   1                 139        0.0009099146
                   1                 140        0.0010751972
                   1                 141        0.0012831323
                   1                 142        0.0014997308
                   1                 143        0.0017405327
                   1                 144        0.0020349714
                   1                 145        0.0023895850
                   1                 146        0.0028607055
                   1                 147        0.0033932249
                   1                 148        0.0040305805
                   1                 149        0.0048380334
                   1                 150        0.0058010005
                   1                 151        0.0070672949
                   1                 152        0.0087063865
                   1                 153        0.0108126532
                   1                 154        0.0135222051
                   1                 155        0.0171377204
                   1                 156        0.0217927663
                   1                 157        0.0278689620
                   1                 158        0.0358491339
                   1                 159        0.0467289018
                   2                   0        0.0632088391
                   2                   1        0.0483479676
                   2                   2        0.0374403854
                   2                   3        0.0291345154
                   2                   4        0.0227724244
                   2                   5        0.0178311757
                   2                   6        0.0141271156
                   2                   7        0.0113015101
                   2                   8        0.0090351362
                   2                   9        0.0072665522
                   2                  10        0.0059008304
                   2                  11        0.0048164530
                   2                  12        0.0039358760
                   2                  13        0.0032577549
                   2                  14        0.0026835802
                   2                  15        0.0021909078
                   2                  16        0.0017757541
                   2                  17        0.0014502241
                   2                  18        0.0012009217
                   2                  19        0.0010171982
                   2                  20        0.0008824405
                   2                  21        0.0007587314
                   2                  22        0.0006574048
                   2                  23        0.0005850725
                   2                  24        0.0005088365
                   2                  25        0.0004489368
                   2                  26        0.0003912192
                   2                  27        0.0003566778
                   2                  28        0.0003110127
                   2                  29        0.0002710436
                   2                  30        0.0002287476
                   2                  31        0.0001918701
                   2                  32        0.0001691119
                   2                  33        0.0001474663
                   2                  34        0.0001355214
                   2                  35        0.0001183847
                   2                  36        0.0000999036
                   2                  37        0.0000835768
                   2                  38        0.0000652158
                   2                  39        0.0000558800
                   2                  40        0.0000473606
                   2                  41        0.0000371996
                   2                  42        0.0000377478
                   2                  43        0.0000387251
                   2                  44        0.0000401426
